model,Geological Group ID,target,cv_block,model_score,model_score_mean_sensitivity,model_score_sd,score_type,positive_vote_fraction,prediction
SVM,GG0069,0,CVB0065,0.27164219790971333,0.21980746722467326,0.11655480120015799,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0070,0,CVB0066,0.09539634196406047,0.09420014007092165,0.040019520446971615,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0071,0,CVB0067,0.48530898944113615,0.4499095917051852,0.1328960555369395,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0072,0,CVB0068,0.3819395898237799,0.3850535057861604,0.042892151001434065,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0073,0,CVB0069,0.25597804926136,0.24597624446137853,0.024196767300684083,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0074,0,CVB0070,0.29543658317152655,0.28500614027875604,0.024525976308180483,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0075,0,CVB0071,0.3783299975498352,0.3355064922556242,0.08935878895316329,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0076,0,CVB0072,0.6925552249111414,0.6502073091145308,0.09531660833634856,monotonic_transformed_decision_score_not_calibrated,1.0,1
SVM,GG0077,0,CVB0073,0.2703487665437701,0.25537493281240503,0.04634815934574801,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0078,0,CVB0074,0.25157661206738047,0.22680789955869676,0.08095209865761357,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0079,0,CVB0075,0.3060476351202482,0.3232788039287837,0.04417921042644402,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0080,0,CVB0076,0.10953573985169598,0.10628649179339582,0.026427639969102187,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0081,0,CVB0077,0.39642431866247874,0.3872092664166931,0.059216609596288286,monotonic_transformed_decision_score_not_calibrated,0.3333333333333333,0
SVM,GG0082,0,CVB0078,0.19121580199457788,0.2249261128958783,0.08211241365946995,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0083,0,CVB0079,0.2700754423803034,0.27095145938922466,0.09581491160468328,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0084,0,CVB0080,0.24480962812031137,0.240966699209853,0.07079293967253264,monotonic_transformed_decision_score_not_calibrated,0.0,0
SVM,GG0085,0,CVB0081,0.6308162031706195,0.6017079439325131,0.05538689769606587,monotonic_transformed_decision_score_not_calibrated,1.0,1
