class,omitted_source_block,remaining_groups,rank_spearman_vs_full,top10_jaccard_vs_full,maximum_primary_bridge_direction_change,primary_bridge_direction_sign_flips,sensitivity_definition,analysis_protocol_hash
A,RCB0015,70,0.9994362226920366,1.0,0.00818680197124766,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0016,70,0.9997181113460183,1.0,0.01265738039649178,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0017,70,0.9995771670190273,1.0,0.010610037033796968,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0018,70,0.9992952783650457,1.0,0.010223219751613888,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0019,70,0.9992952783650457,1.0,0.016273000320765396,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0020,70,0.9992952783650457,1.0,0.008383635144198598,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0021,70,0.9998590556730093,1.0,0.012232817193013168,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0022,70,0.9994362226920366,1.0,0.022129880733677443,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0023,70,0.9998590556730093,1.0,0.008924561863937419,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0024,70,0.9997181113460183,1.0,0.02166768728311899,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0025,70,0.999154334038055,1.0,0.015439010876855327,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0026,70,0.9995771670190273,1.0,0.04754760446738404,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0027,70,0.9998590556730093,1.0,0.008208672323797905,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0028,70,0.9997181113460183,1.0,0.03530020703933748,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0029,70,0.9994362226920366,1.0,0.008166727508495453,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0030,70,0.9992952783650457,1.0,0.0073688507858747365,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0031,70,0.9995771670190273,1.0,0.013707895842559159,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0032,70,0.9994362226920366,1.0,0.018203423439185823,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0033,70,0.9994362226920366,1.0,0.026119033038812522,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0034,70,0.9994362226920366,1.0,0.019295483043186568,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0035,70,0.9995771670190273,1.0,0.016536902574869505,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0036,70,0.9994362226920366,1.0,0.007323739124825535,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0037,70,0.9998590556730093,1.0,0.01245404502870795,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0038,70,0.9995771670190273,1.0,0.018566471291517228,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0039,70,0.9992952783650457,1.0,0.009287609716268574,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0040,70,0.999154334038055,1.0,0.013234479339806954,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0041,70,0.9994362226920366,1.0,0.01601201411366754,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0042,70,0.9992952783650457,1.0,0.011304056221386416,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0043,70,0.9997181113460183,1.0,0.013015891895913123,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0045,70,0.9990133897110641,1.0,0.00994517831627445,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0046,70,0.9994362226920366,1.0,0.012891843816522308,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0047,70,0.9997181113460183,1.0,0.016041174583734275,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0048,70,0.9998590556730093,1.0,0.010784999854197647,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0049,70,0.9995771670190273,1.0,0.015866211763333582,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
A,RCB0050,70,0.9998590556730093,1.0,0.04688274574986151,0,delete-one-source-block aggregation influence; models are not refitted,A2CFC6311C185EAA2F17BA13E733D522713F64F2850C50F6EEF6E4CE1F592221
